test/success_rate,train/episode,train/success_rate,stats_o/std,stats_g/std,test/mean_Q,stats_g/mean,test/episode,stats_o/mean,epoch
0.0,20.0,0.0,0.8008098,0.8258018,-1.5354338,-0.05230068,20.0,0.15779196,0
0.0,40.0,0.0,0.80162,0.8413295,-2.2529392,-0.050752506,40.0,0.15758513,1
0.0,60.0,0.0,0.79792565,0.8441641,-2.8969963,-0.043618646,60.0,0.15713708,2
